Idaho Can Of Corn,Team Roy Hobbs,Team Brock,Kevin's Top-Notch Team,Witt or Without Yu,Team Brock,Idaho Can Of Corn,Daniel's Daring Team,Team Brock,Shohei's Fried Chicken,Big Bats Bigger... Fielders,Daniel's Daring Team,"If You Ain't First, You're Last",Team Brock,Team Roy Hobbs,Daniel's Daring Team,Big Bats Bigger... Fielders,Team Brock,Shohei's Fried Chicken,Team Brock,Idaho Can Of Corn,Daniel's Daring Team
4-6-2000,1-9-2000,0-10-0,2-7-2001,6-3-2001,5-5-2000,2-8-2000,6-4-2000,4-6-2000,8-2-2000,4-5-2001,4-4-2002,5-5-2000,6-4-2000,1-9-2000,5-5-2000,5-4-2001,2000-9-1,6-4-2000,4-5-2001,4-5-2001,5-5-2000
Team Brock,"If You Ain't First, You're Last",Idaho Can Of Corn,Shohei's Fried Chicken,Shohei's Fried Chicken,Idaho Can Of Corn,Witt or Without Yu,Shohei's Fried Chicken,Team Roy Hobbs,Daniel's Daring Team,Team Brock,Big Bats Bigger... Fielders,Big Bats Bigger... Fielders,Team Roy Hobbs,Witt or Without Yu,Big Bats Bigger... Fielders,Witt or Without Yu,Shohei's Fried Chicken,Daniel's Daring Team,Idaho Can Of Corn,Witt or Without Yu,Shohei's Fried Chicken
1-8-2001,5-5-2000,3-5-2002,4-6-2000,7-3-2000,7-3-2000,4-6-2000,5-5-2000,3-5-2002,2-6-2002,4-6-2000,4-5-2001,4-5-2001,6-4-2000,1-9-2000,4-5-2001,5-5-2000,4-6-2000,6-4-2000,4-5-2001,5-5-2000,6-4-2000
Kevin's Top-Notch Team,Daniel's Daring Team,Big Bats Bigger... Fielders,Big Bats Bigger... Fielders,Team Roy Hobbs,Witt or Without Yu,Big Bats Bigger... Fielders,Witt or Without Yu,Shohei's Fried Chicken,"If You Ain't First, You're Last",Witt or Without Yu,Idaho Can Of Corn,Shohei's Fried Chicken,Daniel's Daring Team,Idaho Can Of Corn,Witt or Without Yu,Shohei's Fried Chicken,Daniel's Daring Team,Team Roy Hobbs,Witt or Without Yu,Big Bats Bigger... Fielders,Witt or Without Yu
8-1-2001,5-5-2000,5-3-2002,6-4-2000,3-7-2000,3-7-2000,6-4-2000,5-5-2000,5-3-2002,6-2-2002,6-4-2000,5-4-2001,5-4-2001,4-6-2000,9-1-2000,5-4-2001,5-5-2000,6-4-2000,4-6-2000,5-4-2001,5-5-2000,4-6-2000
Daniel's Daring Team,Kevin's Top-Notch Team,Kevin's Top-Notch Team,Team Brock,Team Brock,Big Bats Bigger... Fielders,Kevin's Top-Notch Team,Team Roy Hobbs,Witt or Without Yu,Witt or Without Yu,"If You Ain't First, You're Last","If You Ain't First, You're Last",Daniel's Daring Team,Idaho Can Of Corn,Kevin's Top-Notch Team,Shohei's Fried Chicken,Kevin's Top-Notch Team,Team Roy Hobbs,Kevin's Top-Notch Team,Big Bats Bigger... Fielders,Kevin's Top-Notch Team,Team Roy Hobbs
4-6-2000,7-2-2001,1-9-2000,2-7-2001,2-7-2001,8-1-2001,6-4-2000,7-3-2000,7-2-2001,3-6-2001,0-10-0,4-5-2001,2-8-2000,3-6-2001,5-5-2000,5-5-2000,3-7-2000,6-4-2000,4-5-2001,5-2-2003,2-6-2002,2-7-2001
Witt or Without Yu,Witt or Without Yu,"If You Ain't First, You're Last","If You Ain't First, You're Last",Daniel's Daring Team,Kevin's Top-Notch Team,Shohei's Fried Chicken,Kevin's Top-Notch Team,Daniel's Daring Team,Kevin's Top-Notch Team,Kevin's Top-Notch Team,Team Brock,Team Brock,Kevin's Top-Notch Team,Big Bats Bigger... Fielders,Kevin's Top-Notch Team,Team Roy Hobbs,Witt or Without Yu,Idaho Can Of Corn,Kevin's Top-Notch Team,Shohei's Fried Chicken,Kevin's Top-Notch Team
6-4-2000,2-7-2001,9-1-2000,7-2-2001,7-2-2001,1-8-2001,4-6-2000,3-7-2000,2-7-2001,6-3-2001,10-0-0,5-4-2001,8-2-2000,6-3-2001,5-5-2000,5-5-2000,7-3-2000,4-6-2000,5-4-2001,2-5-2003,6-2-2002,7-2-2001
